last_name, first_name,player_id,year,b_home_run,b_k_percent,batting_avg,slg_percent,on_base_percent,
Lowrie, Jed,476704,2017,14,15.5,.277,.448,.360,
Morrison, Logan,489149,2017,38,24.8,.246,.516,.353,
Gurriel, Yuli,493329,2017,18,11.0,.299,.486,.332,
Freese, David,501896,2017,10,23.1,.263,.371,.368,
Davis, Khris,501981,2017,43,29.9,.247,.528,.336,
Pham, Tommy,502054,2017,23,22.1,.306,.520,.409,
Reddick, Josh,502210,2017,13,13.3,.314,.484,.357,
Murphy, Daniel,502517,2017,23,13.0,.322,.543,.384,
Gonzalez, Marwin,503556,2017,23,19.2,.303,.530,.375,
Altuve, Jose,514888,2017,24,12.7,.346,.547,.409,
Hernandez, Cesar,514917,2017,9,18.0,.294,.421,.373,
Segura, Jean,516416,2017,11,14.7,.300,.427,.348,
Freeman, Freddie,518692,2017,28,18.5,.307,.586,.403,
LeMahieu, DJ,518934,2017,8,13.2,.310,.409,.372,
Moreland, Mitch,519048,2017,22,20.8,.246,.443,.326,
Moustakas, Mike,519058,2017,38,15.7,.272,.521,.314,
Rizzo, Anthony,519203,2017,32,13.0,.273,.507,.392,
Souza Jr., Steven,519306,2017,30,29.0,.239,.459,.350,
Stanton, Giancarlo,519317,2017,59,23.6,.281,.631,.376,
Thames, Eric,519346,2017,31,29.6,.247,.518,.359,
Galvis, Freddy,520471,2017,12,16.7,.255,.382,.308,
Garcia, Avisail,541645,2017,18,19.8,.330,.506,.380,
Inciarte, Ender,542255,2017,11,13.1,.304,.409,.348,
Ozuna, Marcell,542303,2017,37,21.2,.312,.548,.376,
Beckham, Tim,542921,2017,22,29.0,.278,.454,.327,
Crawford, Brandon,543063,2017,14,19.8,.253,.403,.305,
Harrison, Josh,543281,2017,16,16.6,.272,.432,.338,
Hosmer, Eric,543333,2017,25,15.5,.318,.498,.385,
Rendon, Anthony,543685,2017,25,13.6,.301,.533,.403,
Shaw, Travis,543768,2017,31,22.8,.273,.513,.348,
Springer III, George,543807,2017,34,17.6,.283,.522,.366,
Strange-Gordon, Dee,543829,2017,2,13.4,.308,.375,.340,
Gregorius, Didi,544369,2017,25,12.3,.287,.478,.318,
Trout, Mike,545361,2017,33,17.8,.306,.629,.442,
Herrera, Odubel,546318,2017,14,22.4,.281,.452,.325,
Abreu, Jose,547989,2017,33,17.6,.304,.552,.354,
Suarez, Eugenio,553993,2017,26,23.3,.260,.461,.367,
Santana, Domingo,570267,2017,30,29.3,.278,.505,.371,
Sanchez, Yolmer,570560,2017,12,20.8,.267,.413,.315,
Schoop, Jonathan,570731,2017,32,21.0,.293,.503,.338,
Arenado, Nolan,571448,2017,37,15.6,.309,.586,.372,
Hamilton, Billy,571740,2017,4,21.0,.247,.335,.297,
Joseph, Tommy,571830,2017,22,24.2,.240,.432,.289,
Seager, Kyle,572122,2017,27,16.9,.249,.450,.323,
Carpenter, Matt,572761,2017,23,20.1,.241,.451,.383,
Dickerson, Corey,572816,2017,27,24.2,.282,.490,.324,
Dozier, Brian,572821,2017,34,20.0,.271,.498,.359,
Bryant, Kris,592178,2017,29,19.2,.295,.537,.409,
Castellanos, Nick,592206,2017,26,21.4,.272,.490,.320,
Gamel, Ben,592325,2017,11,22.2,.275,.413,.322,
Healy, Ryon,592387,2017,25,23.5,.271,.451,.302,
Judge, Aaron,592450,2017,52,30.7,.284,.627,.422,
Machado, Manny,592518,2017,33,16.7,.259,.471,.310,
Realmuto, J.T.,592663,2017,17,18.3,.278,.451,.332,
Rosario, Eddie,592696,2017,27,18.0,.290,.507,.326,
Simmons, Andrelton,592743,2017,14,10.4,.278,.421,.331,
Yelich, Christian,592885,2017,18,19.7,.282,.439,.368,
Merrifield, Whit,593160,2017,19,14.0,.288,.460,.324,
Bogaerts, Xander,593428,2017,10,18.3,.273,.403,.343,
Polanco, Jorge,593871,2017,13,14.3,.256,.410,.309,
Calhoun, Kole,594777,2017,19,20.5,.244,.392,.333,
Duvall, Adam,594807,2017,31,26.3,.249,.480,.301,
Schebler, Scott,594988,2017,30,23.5,.233,.484,.307,
Baez, Javier,595879,2017,23,28.3,.273,.480,.313,
Lindor, Francisco,596019,2017,33,12.9,.273,.505,.335,
Odor, Rougned,596059,2017,30,24.9,.204,.397,.252,
Story, Trevor,596115,2017,24,34.4,.239,.457,.308,
Sanchez, Gary,596142,2017,33,22.9,.278,.531,.345,
Kepler, Max,596146,2017,19,20.1,.243,.425,.312,
Franco, Maikel,596748,2017,24,15.2,.230,.409,.281,
Bradley Jr., Jackie,598265,2017,17,22.9,.245,.402,.323,
Bell, Josh,605137,2017,26,18.9,.255,.466,.334,
Betts, Mookie,605141,2017,24,11.1,.264,.459,.344,
Panik, Joe,605412,2017,10,9.4,.288,.421,.346,
Arcia, Orlando,606115,2017,15,18.2,.277,.407,.323,
Peraza, Jose,606299,2017,5,13.5,.259,.324,.295,
Pillar, Kevin,607680,2017,16,15.0,.256,.404,.299,
Ramirez, Jose,608070,2017,29,10.7,.318,.583,.374,
Bregman, Alex,608324,2017,19,15.5,.284,.475,.351,
Gallo, Joey,608336,2017,41,36.8,.209,.537,.333,
Seager, Corey,608369,2017,22,21.4,.295,.479,.375,
Mazara, Nomar,608577,2017,20,20.6,.253,.422,.323,
Swanson, Dansby,621020,2017,6,21.8,.232,.324,.312,
Taylor, Chris,621035,2017,21,25.0,.288,.496,.354,
Buxton, Byron,621439,2017,16,29.4,.253,.413,.311,
Puig, Yasiel,624577,2017,28,17.5,.263,.487,.346,
Anderson, Tim,641313,2017,17,26.7,.257,.402,.276,
Bellinger, Cody,641355,2017,39,26.6,.267,.581,.352,
Mancini III, Trey,641820,2017,24,23.7,.293,.488,.338,
Benintendi, Andrew,643217,2017,20,17.0,.271,.424,.351,
Cabrera, Miguel,408234,2020,10,22.1,.250,.417,.329,
Cruz Jr., Nelson,443558,2020,16,27.1,.303,.595,.397,
Peralta, David,444482,2020,5,20.6,.300,.433,.339,
Longoria, Evan,446334,2020,7,18.7,.254,.425,.297,
Cabrera, Asdrubal,452678,2020,8,18.8,.242,.447,.305,
Blackmon, Charlie,453568,2020,6,17.8,.303,.448,.356,
Solano, Donovan,456781,2020,3,19.2,.326,.463,.365,
McCutchen, Andrew,457705,2020,10,19.9,.253,.433,.324,
Votto, Joey,458015,2020,11,19.3,.226,.446,.354,
Santana, Carlos,467793,2020,8,16.9,.199,.350,.349,
Brantley Jr., Michael,488726,2020,5,15.0,.300,.476,.364,
Gurriel, Yuli,493329,2020,6,11.7,.232,.384,.274,
Escobar, Eduardo,500871,2020,4,18.5,.212,.335,.270,
Martinez, J.D.,502110,2020,7,24.9,.213,.389,.291,
Reddick, Josh,502210,2020,4,20.0,.245,.378,.314,
Goldschmidt, Paul,502671,2020,6,18.6,.304,.466,.416,
Gonzalez, Marwin,503556,2020,5,20.6,.211,.320,.286,
Altuve, Jose,514888,2020,5,18.6,.219,.344,.286,
Hernandez, Cesar,514917,2020,3,21.8,.283,.408,.352,
Segura, Jean,516416,2020,7,20.7,.266,.422,.346,
Marte, Starling,516782,2020,6,16.4,.281,.430,.340,
Freeman, Freddie,518692,2020,13,14.1,.341,.640,.462,
Grandal, Yasmani,518735,2020,8,29.9,.230,.422,.351,
LeMahieu, DJ,518934,2020,10,9.7,.364,.590,.421,
Rizzo, Anthony,519203,2020,11,15.6,.222,.414,.342,
Flores, Wilmer,527038,2020,12,16.9,.268,.515,.315,
Garcia, Avisail,541645,2020,2,23.7,.238,.326,.333,
Ozuna, Marcell,542303,2020,18,22.5,.338,.636,.431,
Villar, Jonathan,542340,2020,2,26.1,.232,.292,.300,
Aguilar, Jesus,542583,2020,8,18.5,.277,.457,.352,
Crawford, Brandon,543063,2020,8,24.4,.256,.465,.326,
Grossman, Robbie,543257,2020,8,19.8,.241,.482,.344,
Hicks, Aaron,543305,2020,6,18.0,.225,.414,.379,
Rendon, Anthony,543685,2020,9,13.4,.286,.497,.418,
Semien, Marcus,543760,2020,7,21.2,.223,.374,.305,
Springer III, George,543807,2020,14,17.1,.265,.540,.356,
Vazquez, Christian,543877,2020,7,22.8,.283,.457,.344,
Wong, Kolten,543939,2020,1,14.4,.265,.326,.346,
Gregorius, Didi,544369,2020,10,11.8,.284,.488,.338,
Grichuk, Randal,545341,2020,12,21.2,.273,.481,.312,
Trout, Mike,545361,2020,17,23.2,.281,.603,.390,
Ruiz, Rio,547004,2020,9,22.5,.222,.427,.284,
Harper, Bryce,547180,2020,13,17.6,.268,.542,.418,
Abreu, Jose,547989,2020,19,22.5,.317,.617,.370,
Suarez, Eugenio,553993,2020,15,29.0,.202,.470,.312,
Gonzalez, Erik,570481,2020,3,26.4,.227,.359,.254,
Arenado, Nolan,571448,2020,8,10.0,.253,.434,.303,
Muncy, Max,571970,2020,12,24.2,.192,.389,.331,
Myers, Wil,571976,2020,15,25.7,.288,.606,.353,
Pollock, AJ,572041,2020,16,21.4,.276,.566,.314,
Seager, Kyle,572122,2020,9,13.3,.241,.433,.355,
Voit III, Luke,572228,2020,22,23.1,.277,.610,.338,
Walker, Christian,572233,2020,7,20.6,.271,.459,.333,
Dickerson, Corey,572816,2020,7,16.7,.258,.402,.310,
Yastrzemski, Mike,573262,2020,10,24.4,.297,.568,.400,
Contreras, Willson,575929,2020,7,25.3,.243,.407,.356,
Canha, Mark,592192,2020,5,22.2,.246,.408,.387,
Castellanos, Nick,592206,2020,14,28.5,.225,.486,.298,
Machado, Manny,592518,2020,16,14.6,.304,.580,.370,
Moran, Colin,592567,2020,10,26.0,.247,.472,.325,
Realmuto, J.T.,592663,2020,11,24.6,.266,.491,.349,
Rosario, Eddie,592696,2020,13,14.7,.257,.476,.316,
Yelich, Christian,592885,2020,12,30.8,.205,.430,.356,
Merrifield, Whit,593160,2020,9,12.5,.282,.440,.325,
Bogaerts, Xander,593428,2020,11,18.2,.300,.502,.364,
Alberto, Hanser,593643,2020,3,13.0,.283,.393,.303,
Polanco, Jorge,593871,2020,4,15.5,.258,.354,.301,
Sano, Miguel,593934,2020,13,43.9,.204,.478,.278,
Calhoun, Kole,594777,2020,16,21.9,.226,.526,.338,
Duvall, Adam,594807,2020,16,25.8,.237,.532,.301,
Profar, Jurickson,595777,2020,7,13.9,.278,.428,.342,
Baez, Javier,595879,2020,8,31.9,.203,.360,.238,
Lindor, Francisco,596019,2020,8,15.4,.258,.415,.335,
Story, Trevor,596115,2020,11,24.3,.289,.519,.355,
Kepler, Max,596146,2020,9,18.4,.228,.439,.321,
Franco, Maikel,596748,2020,8,15.6,.278,.457,.321,
Bradley Jr., Jackie,598265,2020,7,22.1,.283,.450,.364,
La Stella, Tommy,600303,2020,5,5.3,.281,.449,.368,
Nunez, Renato,600524,2020,12,29.6,.256,.492,.324,
Candelario, Jeimer,600869,2020,7,23.8,.297,.503,.369,
Ahmed, Nick,605113,2020,5,21.2,.266,.402,.327,
Anderson, Brian,605119,2020,11,28.8,.255,.465,.345,
Bell, Josh,605137,2020,8,26.5,.226,.364,.305,
Betts, Mookie,605141,2020,16,15.4,.292,.562,.366,
Davis, J.D.,605204,2020,6,24.5,.247,.389,.371,
Arcia, Orlando,606115,2020,5,16.9,.260,.416,.317,
Tapia, Raimel,606132,2020,1,18.4,.321,.402,.364,
Hernandez, Teoscar,606192,2020,16,30.4,.289,.579,.338,
Marte, Ketel,606466,2020,2,10.8,.287,.409,.323,
Nimmo, Brandon,607043,2020,8,19.1,.280,.484,.404,
Turner, Trea,607208,2020,12,13.9,.335,.588,.394,
Pillar, Kevin,607680,2020,6,18.4,.288,.462,.336,
Ramirez, Jose,608070,2020,17,16.9,.292,.607,.386,
Gallo, Joey,608336,2020,10,35.0,.181,.378,.301,
Seager, Corey,608369,2020,15,15.9,.307,.585,.358,
Mondesi, Adalberto,609275,2020,6,30.0,.256,.416,.292,
Reyes, Franmil,614177,2020,9,28.6,.275,.450,.344,
Swanson, Dansby,621020,2020,10,26.9,.274,.464,.345,
Taylor, Chris,621035,2020,8,25.7,.270,.476,.364,
Correa, Carlos,621043,2020,5,22.2,.264,.383,.326,
Olson, Matt,621566,2020,14,31.4,.195,.424,.310,
Reyes, Victor,622682,2020,4,21.1,.277,.391,.315,
Alonso, Pete,624413,2020,16,25.5,.231,.490,.326,
Biggio, Cavan,624415,2020,8,23.0,.250,.432,.374,
Conforto, Michael,624424,2020,9,24.5,.322,.515,.412,
Frazier, Adam,624428,2020,7,15.2,.230,.364,.296,
Cronenworth, Jake,630105,2020,4,15.6,.285,.477,.354,
Anderson, Tim,641313,2020,10,22.6,.322,.529,.357,
Bellinger, Cody,641355,2020,12,17.3,.239,.455,.333,
Crawford, J.P.,641487,2020,2,16.8,.255,.338,.336,
Dozier, Hunter,641531,2020,6,25.8,.228,.392,.344,
Lewis, Kyle,641786,2020,11,29.3,.262,.437,.364,
McMahon, Ryan,641857,2020,9,34.2,.215,.419,.295,
Smith, Dominic,642086,2020,10,22.6,.316,.616,.377,
Adames, Willy,642715,2020,8,36.1,.259,.481,.332,
Kiner-Falefa, Isiah,643396,2020,3,14.0,.280,.370,.329,
